Stops,Lat,Long
A,42.440505,-76.496483
B,42.438607,-76.497713
C,42.430921,-76.492382
D,42.424326,-76.49533
E,42.420368,-76.494489
F,42.411322,-76.500509
G,42.420338,-76.494415
H,42.424231,-76.495502
I,42.440505,-76.496483
