Stops,Lat,Long
A,42.456332,-76.471458
B,42.447539,-76.482073
C,42.447434,-76.467712
D,42.437605,-76.462757
E,42.438896,-76.462792
F,42.446320,-76.464771
G,42.447434,-76.466971
H,42.447569,-76.482361
